C-3042;25-10-2021;ML2850;906;946;150;28;0:10;;;;;;;LIMPEZA;MARCELO;25-10-2021;15930;Accioly;0;comodato;;
C-4934;25-10-2021;278A;474;604;110;17;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4850;25-10-2021;278A;473;595;111;17;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4853;25-10-2021;278A;473;598;110;11;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4849;26-10-2021;278A;479;607;110;9;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4852;26-10-2021;278A;487;614;112;14;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4935;26-10-2021;278A;481;581;111;12;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4936;26-10-2021;278A;544;567;108;10;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4937;26-10-2021;278A;482;583;112;16;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4938;26-10-2021;278A;470;603;110;17;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-4939;26-10-2021;278A;438;564;112;9;0:10;;;;;;X;LIMPEZA;MARCELO;26-10-2021;16087;Cismepar;40;;;
C-3435;27-10-2021;TN3492;680;680;0;0;0:15;;;;;;;LIMPEZA;ADALBERTO;27-10-2021;16115;Cetel;0;comodato;;
C-4789;27-10-2021;DR3440;0;0;0;0;0:10;;;;;;;LIMPEZA;ADALBERTO;27-10-2021;16115;Cetel;0;comodato;;
C-4241;27-10-2021;TN3492;512;808;305;10;0:20;;;;;;;KATUN;ADALBERTO;27-10-2021;16098;FEL;0;comodato;;
C-4634;27-10-2021;280X;800;1023;316;41;0:10;;;;;;X;LIMPEZA;MARCELO;03-11-2021;15499;Cocamar;0;comodato;;
C-3380;27-10-2021;280X;930;1075;308;25;0:10;;;;;;X;LIMPEZA;MARCELO;03-11-2021;15779;Bavaria;0;comodato;;
C-4353;27-10-2021;280X;1000;1000;0;0;0:10;X;;;;;X;;MARCELO;28-10-2021;16008;Toyopar;0;comodato;;
